Year;Sex;Continent;Count
1896;Male;Europe;68,00
1896;Male;America;12,00
1896;Male;Oceania;1
1900;Male;Europe;163
1900;Male;America;30,00
1900;Male;Oceania;1,00
1900;Male;Asia;1,00
1900;Female;America;2,00
1900;Female;Europe;5,00
1904;Male;America;161,00
1904;Male;Europe;13,00
1904;Female;America;3,00
1908;Male;Europe;205,00
1908;Male;America;52,00
1908;Male;Oceania;4,00
1908;Male;Asia;3,00
1908;Male;Africa;2,00
1908;Female;Europe;14,00
1912;Male;Europe;176,00
1912;Male;Asia;5,00
1912;Male;America;54,00
1912;Male;Africa;5,00
1912;Male;Oceania;3,00
1912;Female;Europe;15,00
1912;Female;Oceania;2,00
1920;Male;Europe;248,00
1920;Male;America;80,00
1920;Male;Africa;8,00
1920;Male;Oceania;4,00
1920;Male;Asia;1,00
1920;Female;Europe;17,00
1920;Female;America;8,00
1924;Male;Europe;213,00
1924;Male;America;81,00
1924;Male;Africa;3,00
1924;Male;Asia;1,00
1924;Male;Oceania;5,00
1924;Female;Europe;15,00
1924;Female;America;15,00
1928;Male;Africa;5,00
1928;Male;Europe;199,00
1928;Male;America;60,00
1928;Male;Oceania;4,00
1928;Male;Asia;6,00
1928;Female;Europe;23,00
1928;Female;America;16,00
1928;Female;Africa;1,00
1928;Female;Asia;1,00
1932;Male;Europe;168,00
1932;Male;America;96,00
1932;Male;Africa;3,00
1932;Male;Asia;19,00
1932;Male;Oceania;4,00
1932;Female;Europe;13,00
1932;Female;Oceania;2,00
1932;Female;America;21,00
1932;Female;Africa;2,00
1932;Female;Asia;1,00
1936;Male;Europe;248,00
1936;Male;Africa;6,00
1936;Male;America;57,00
1936;Male;Asia;20,00
1936;Male;Oceania;2,00
1936;Female;Europe;30,00
1936;Female;America;11,00
1936;Female;Asia;1,00
1948;Male;Europe;220,00
1948;Male;America;84,00
1948;Male;Africa;12,00
1948;Male;Asia;17,00
1948;Male;Oceania;7,00
1948;Female;Europe;37,00
1948;Female;Oceania;3,00
1948;Female;America;11,00
